first_name,last_name,position,team,season,fantasy_points_ppr,fantasy_adp,age,is_rookie,nfl_draft_round,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,points_per_game
Marcus,Mariota,QB,PHI,2023.0,11.76,999.0,32.0,False,1.0,2.0,15.0,23.0,164.0,1.0,1.0,8.0,52.0,0.0,0.0,0.0,0.0,0.0,5.88
Gary,Brightwell,RB,NYG,2023.0,11.6,999.0,27.0,False,6.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,5.0,7.0,47.0,0.0,3.87
Steven,Sims,WR,HOU,2023.0,11.6,999.0,28.0,False,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,25.0,0.0,3.87
Blake,Bell,TE,KC,2023.0,11.599999,999.0,34.0,False,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,26.0,1.0,1.93
Equanimeous,St. Brown,WR,CHI,2023.0,11.2,999.0,29.0,False,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,62.0,0.0,2.24
Brandon,Bolden,RB,LV,2023.0,11.1,999.0,35.0,False,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,1.0,0.0,0.0,0.0,0.0,3.7
Velus,Jones,WR,CHI,2023.0,11.099999,999.0,28.0,False,3.0,10.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,0.0,4.0,7.0,20.0,0.0,1.11
Tim,Boyle,QB,HOU,2023.0,10.9,999.0,31.0,False,0.0,3.0,48.0,77.0,360.0,1.0,4.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.63
Chris,Brooks,RB,MIA,2023.0,10.6,999.0,25.0,False,0.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,106.0,0.0,0.0,0.0,0.0,0.0,3.53
Ian,Thomas,TE,CAR,2023.0,10.6,999.0,29.0,False,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,9.0,56.0,0.0,1.51
Quintin,Morris,TE,BUF,2023.0,10.6,999.0,26.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,26.0,1.0,5.3
Dare,Ogunbowale,RB,HOU,2023.0,10.3,999.0,31.0,False,0.0,7.0,0.0,0.0,0.0,0.0,0.0,10.0,42.0,0.0,3.0,8.0,31.0,0.0,1.47
Rakim,Jarrett,WR,TB,2023.0,10.0,999.0,24.0,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,9.0,60.0,0.0,1.67
Ty,Montgomery,WR,NE,2023.0,9.9,999.0,32.0,False,3.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,5.0,12.0,40.0,0.0,1.41
Case,Keenum,QB,HOU,2023.0,9.74,999.0,37.0,False,0.0,2.0,34.0,53.0,291.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.87
DeAndre,Carter,WR,LV,2023.0,9.7,999.0,32.0,False,0.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,0.0,4.0,7.0,39.0,0.0,1.21
Keelan,Doss,WR,LAC,2023.0,9.3,999.0,29.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,33.0,0.0,4.65
Jack,Stoll,TE,PHI,2023.0,8.8,999.0,27.0,False,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,8.0,38.0,0.0,1.76
Julian,Hill,TE,MIA,2023.0,8.8,999.0,25.0,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,48.0,0.0,1.47
Tyler,Johnson,WR,LA,2023.0,8.8,999.0,27.0,False,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,1.0,8.8
Britain,Covey,WR,PHI,2023.0,8.2,999.0,28.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,42.0,0.0,4.1
Tylan,Wallace,WR,BAL,2023.0,8.1,999.0,26.0,False,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,11.0,0.0,4.05
Simi,Fehoko,WR,LAC,2023.0,7.9,999.0,28.0,False,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,9.0,1.0,7.9
Grant,Calcaterra,TE,PHI,2023.0,7.8999996,999.0,26.0,False,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,39.0,0.0,3.95
Peyton,Hendershot,TE,DAL,2023.0,7.8,999.0,26.0,False,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,7.0,38.0,0.0,1.11
Damien,Williams,RB,ARI,2023.0,7.5,999.0,33.0,False,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,43.0,0.0,2.0,2.0,12.0,0.0,2.5
Clayton,Tune,QB,ARI,2023.0,7.4799995,999.0,26.0,True,5.0,6.0,12.0,21.0,62.0,0.0,2.0,8.0,30.0,1.0,0.0,0.0,0.0,0.0,1.25
Devin,Duvernay,WR,BAL,2023.0,7.3,999.0,28.0,False,3.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,0.0,4.0,9.0,18.0,0.0,1.22
Ko,Kieft,TE,TB,2023.0,7.2,999.0,27.0,False,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,2.0,1.0,2.4
Austin,Trammell,WR,LA,2023.0,6.9,999.0,27.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,29.0,0.0,3.45
Elijah,Cooks,WR,JAX,2023.0,6.8,999.0,27.0,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,38.0,0.0,3.4
Brett,Rypien,QB,NYJ,2023.0,6.7799997,999.0,29.0,False,0.0,2.0,18.0,38.0,172.0,0.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.0,3.39
Marvin,Jones,WR,DET,2023.0,6.5,999.0,35.0,False,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,35.0,0.0,1.62
Ke'Shawn,Vaughn,RB,NE,2023.0,6.4,999.0,28.0,False,3.0,5.0,0.0,0.0,0.0,0.0,0.0,24.0,42.0,0.0,2.0,5.0,2.0,0.0,1.28
Charlie,Woerner,TE,SF,2023.0,6.2,999.0,28.0,False,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,32.0,0.0,2.07
Nate,Adkins,TE,DEN,2023.0,6.2,999.0,26.0,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,22.0,0.0,1.55
Blaine,Gabbert,QB,KC,2023.0,5.9000006,999.0,36.0,False,1.0,2.0,18.0,35.0,185.0,0.0,3.0,7.0,45.0,0.0,0.0,0.0,0.0,0.0,2.95
Zach,Pascal,WR,ARI,2023.0,5.9,999.0,30.0,False,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15.0,19.0,0.0,0.66
Jalen,Nailor,WR,MIN,2023.0,5.8999996,999.0,26.0,False,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,29.0,0.0,2.95
Teagan,Quitoriano,TE,HOU,2023.0,5.3,999.0,25.0,False,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,33.0,0.0,1.77
Sean,Tucker,RB,TB,2023.0,5.2000003,999.0,24.0,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,15.0,23.0,0.0,2.0,2.0,9.0,0.0,1.73
Gunner,Olszewski,WR,NYG,2023.0,5.0,999.0,28.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.5
Brian,Hoyer,QB,LV,2023.0,4.94,999.0,40.0,False,0.0,2.0,23.0,42.0,231.0,0.0,2.0,3.0,-3.0,0.0,0.0,0.0,0.0,0.0,2.47
Trishton,Jackson,WR,MIN,2023.0,4.9,999.0,27.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,9.0,0.0,2.45
James,Mitchell,TE,DET,2023.0,4.8,999.0,26.0,False,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,28.0,0.0,2.4
Kenny,Yeboah,TE,NYJ,2023.0,4.8,999.0,27.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,28.0,0.0,2.4
Miles,Boykin,WR,PIT,2023.0,4.7,999.0,29.0,False,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,17.0,0.0,1.17
Jashaun,Corbin,RB,NYG,2023.0,4.3,999.0,25.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,12.0,0.0,4.3
Eric,Saubert,TE,HOU,2023.0,4.2,999.0,31.0,False,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,12.0,0.0,1.4
Deon,Jackson,RB,NYG,2023.0,4.0,999.0,26.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,16.0,0.0,5.0,6.0,14.0,0.0,2.0
Leonard,Fournette,RB,BUF,2023.0,4.0,999.0,30.0,False,1.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,40.0,0.0,0.0,0.0,0.0,0.0,2.0
Elijah,Dotson,RB,LAC,2023.0,3.9,999.0,26.0,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,2.0,2.0,13.0,0.0,3.9
Kayshon,Boutte,WR,NE,2023.0,3.8999999,999.0,23.0,True,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,19.0,0.0,1.3
Chris,Manhertz,TE,DEN,2023.0,3.6,999.0,33.0,False,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,16.0,0.0,0.9
Willie,Snead,WR,SF,2023.0,3.4,999.0,33.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,14.0,0.0,1.7
Malik,Taylor,WR,NYJ,2023.0,3.3000002,999.0,29.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,13.0,0.0,1.65
Cooper,Rush,QB,DAL,2023.0,3.26,999.0,32.0,False,0.0,7.0,18.0,24.0,144.0,0.0,1.0,12.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.47
Jake,Funk,RB,DET,2023.0,3.2,999.0,27.0,False,7.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,1.0,1.0,12.0,0.0,3.2
Nick,Muse,TE,MIN,2023.0,3.2,999.0,27.0,False,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,0.0,3.2
Anthony,McFarland,RB,PIT,2023.0,3.1,999.0,26.0,False,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11.0,0.0,3.1
Kenyan,Drake,RB,GB,2023.0,3.1,999.0,31.0,False,3.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,31.0,0.0,1.55
Trevon,Wesco,TE,TEN,2023.0,3.1,999.0,30.0,False,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,21.0,0.0,1.03
Malik,Willis,QB,TEN,2023.0,3.06,999.0,26.0,False,3.0,2.0,4.0,5.0,74.0,0.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,0.0,1.53
Derrick,Gore,RB,WAS,2023.0,2.6,999.0,30.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,1.3
Laquon,Treadwell,WR,BAL,2023.0,2.6,999.0,30.0,False,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,16.0,0.0,2.6
Devine,Ozigbo,RB,DET,2023.0,2.3,999.0,29.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,1.0,1.0,8.0,0.0,2.3
Erik,Ezukanma,WR,MIA,2023.0,2.2,999.0,25.0,False,4.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,0.0,0.0,1.0,0.0,0.0,1.1
John,FitzPatrick,TE,ATL,2023.0,2.2,999.0,25.0,False,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,0.0,2.2
Ross,Dwelley,TE,SF,2023.0,2.2,999.0,30.0,False,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,12.0,0.0,1.1
Jaren,Hall,QB,MIN,2023.0,2.12,999.0,27.0,True,5.0,3.0,13.0,20.0,168.0,0.0,1.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.71
Chris,Evans,RB,CIN,2023.0,2.1,999.0,28.0,False,6.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,0.0,1.0,1.0,-1.0,0.0,2.1
Collin,Johnson,WR,CHI,2023.0,2.1,999.0,28.0,False,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,11.0,0.0,2.1
Tyrion,Davis-Price,RB,SF,2023.0,2.1,999.0,25.0,False,3.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,2.1
Mike,White,QB,MIA,2023.0,2.06,999.0,30.0,False,5.0,6.0,5.0,6.0,74.0,1.0,1.0,8.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.34
Cody,Thompson,WR,SEA,2023.0,2.0,999.0,29.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,0.0,2.0
Zach,Evans,RB,LA,2023.0,1.9000001,999.0,24.0,True,6.0,4.0,0.0,0.0,0.0,0.0,0.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.48
Tucker,Fisk,TE,ATL,2023.0,1.9,999.0,26.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,1.9
Anthony,Firkser,TE,DET,2023.0,1.8,999.0,30.0,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,1.8
Evan,Hull,RB,IND,2023.0,1.7,999.0,25.0,True,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,0.0,1.7
