first_name,last_name,position,team,season,fantasy_points_ppr,fantasy_adp,age,is_rookie,nfl_draft_round,games,completions,attempts,passing_yards,passing_tds,interceptions,carries,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,points_per_game
Christian,McCaffrey,RB,SF,2024.0,47.800003,1.4,29.0,False,1.0,4.0,0.0,0.0,0.0,0.0,0.0,50.0,202.0,0.0,15.0,19.0,146.0,0.0,11.95
Breece,Hall,RB,NYJ,2024.0,240.9,2.2,24.0,False,2.0,16.0,0.0,0.0,0.0,0.0,0.0,209.0,876.0,5.0,57.0,76.0,483.0,3.0,15.06
Tyreek,Hill,WR,MIA,2024.0,218.2,2.6,31.0,False,5.0,17.0,0.0,0.0,0.0,0.0,0.0,8.0,53.0,0.0,81.0,122.0,959.0,6.0,12.84
CeeDee,Lamb,WR,DAL,2024.0,263.4,3.7,26.0,False,1.0,15.0,0.0,0.0,0.0,0.0,0.0,14.0,70.0,0.0,101.0,152.0,1194.0,6.0,17.56
Bijan,Robinson,RB,ATL,2024.0,341.7,4.9,23.0,False,1.0,17.0,0.0,0.0,0.0,0.0,0.0,304.0,1456.0,14.0,61.0,72.0,431.0,1.0,20.1
Amon-Ra,St. Brown,WR,DET,2024.0,337.88,6.2,26.0,False,4.0,18.0,1.0,1.0,7.0,1.0,0.0,2.0,6.0,0.0,123.0,151.0,1400.0,12.0,18.77
Ja'Marr,Chase,WR,CIN,2024.0,403.0,7.2,25.0,False,1.0,17.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,0.0,127.0,175.0,1708.0,17.0,23.71
Justin,Jefferson,WR,MIN,2024.0,328.28,8.0,2a6.0,False,1.0,18.0,1.0,1.0,22.0,0.0,0.0,1.0,3.0,0.0,108.0,162.0,1591.0,10.0,18.24
Jahmyr,Gibbs,RB,DET,2024.0,390.4,9.4,23.0,False,1.0,18.0,0.0,0.0,0.0,0.0,0.0,264.0,1517.0,18.0,58.0,74.0,567.0,3.0,21.69
Jonathan,Taylor,RB,IND,2024.0,246.7,9.8,26.0,False,2.0,14.0,0.0,0.0,0.0,0.0,0.0,303.0,1431.0,11.0,18.0,31.0,136.0,1.0,17.62
A.J.,Brown,WR,PHI,2024.0,257.2,10.9,28.0,False,2.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,120.0,1242.0,9.0,15.13
Saquon,Barkley,RB,PHI,2024.0,455.7,11.3,28.0,False,1.0,20.0,0.0,0.0,0.0,0.0,0.0,436.0,2504.0,18.0,46.0,58.0,353.0,2.0,22.79
Garrett,Wilson,WR,NYJ,2024.0,251.9,12.1,25.0,False,1.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,101.0,153.0,1104.0,7.0,14.82
Marvin,Harrison,WR,ARI,2024.0,196.5,14.5,23.0,False,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,116.0,885.0,8.0,11.56
Puka,Nacua,WR,LA,2024.0,232.4,15.2,24.0,False,5.0,13.0,0.0,0.0,0.0,0.0,0.0,12.0,53.0,1.0,90.0,129.0,1131.0,3.0,17.88
Derrick,Henry,RB,BAL,2024.0,381.4,15.9,31.0,False,2.0,19.0,0.0,0.0,0.0,0.0,0.0,367.0,2191.0,19.0,19.0,24.0,193.0,2.0,20.07
Kyren,Williams,RB,LA,2024.0,299.8,15.9,25.0,False,5.0,18.0,0.0,0.0,0.0,0.0,0.0,351.0,1481.0,14.0,38.0,45.0,197.0,3.0,16.66
